entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Ἐπουάῇ	Ellendt	1.0	lestragdiesdeso00tourgoog_0122	pers.other	http://www.wikidata.org/entity/Q18411557
ϑοδιποίἀοννίε	Schneidewin	1.0	lestragdiesdeso00tourgoog_0122	pers.other	http://www.wikidata.org/entity/Q70043
Ῥλέϊοοι.	Philoct.	0.875	lestragdiesdeso00tourgoog_0124	work.primlit	http://www.wikidata.org/entity/Q1415903
“περ.	Antig.	0.8333333333333334	lestragdiesdeso00tourgoog_0124	work.primlit	http://www.wikidata.org/entity/Q241077
Schneidcwin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0124	pers.other	http://www.wikidata.org/entity/Q70043
QEdipe à Colone	OEdipe à Colone	0.06666666666666667	lestragdiesdeso00tourgoog_0125	work.primlit	http://www.wikidata.org/entity/Q294001
Τηαολίκπίονπας	Trachiniennes	1.0	lestragdiesdeso00tourgoog_0126	work.primlit	http://www.wikidata.org/entity/Q945342
QÆd, Col.	OEd. Col.	0.3333333333333333	lestragdiesdeso00tourgoog_0126	work.primlit	http://www.wikidata.org/entity/Q294001
Phil,	Phil.	0.2	lestragdiesdeso00tourgoog_0126	work.primlit	http://www.wikidata.org/entity/Q1415903
Dindurf	Dindorf	0.14285714285714285	lestragdiesdeso00tourgoog_0128	pers.other	http://www.wikidata.org/entity/Q67533
Iliude	Iliade	0.16666666666666666	lestragdiesdeso00tourgoog_0128	work.primlit	http://www.wikidata.org/entity/Q8275
Médés	Médée	0.2	lestragdiesdeso00tourgoog_0129	work.primlit	http://www.wikidata.org/entity/Q286381
Οξά. 7γν.	OEd. Tyr.	0.6666666666666666	lestragdiesdeso00tourgoog_0129	work.primlit	http://www.wikidata.org/entity/Q148643
OEdip. Col,	OEdip. Col.	0.09090909090909091	lestragdiesdeso00tourgoog_0129	work.primlit	http://www.wikidata.org/entity/Q294001
Τγαολίπ.	Trachin.	0.875	lestragdiesdeso00tourgoog_0129	work.primlit	http://www.wikidata.org/entity/Q945342
Velléns Paterculus	Velléjus Paterculus	0.10526315789473684	lestragdiesdeso00tourgoog_0129	pers.author	http://www.wikidata.org/entity/Q316098
11.	Il.	0.6666666666666666	lestragdiesdeso00tourgoog_0130	work.primlit	http://www.wikidata.org/entity/Q8275
IU.	Il.	0.3333333333333333	lestragdiesdeso00tourgoog_0130	work.primlit	http://www.wikidata.org/entity/Q8275
Trackiæ.	Trachin.	0.25	lestragdiesdeso00tourgoog_0130	work.primlit	http://www.wikidata.org/entity/Q945342
Ευτὶρίάε	Euripide	1.0	lestragdiesdeso00tourgoog_0131	pers.author	http://www.wikidata.org/entity/Q48305
ῥλέϊοοίδέα	Philoctète	1.0	lestragdiesdeso00tourgoog_0131	work.primlit	http://www.wikidata.org/entity/Q1415903
Ρῥλὲΐ,	Phil.	1.0	lestragdiesdeso00tourgoog_0131	work.primlit	http://www.wikidata.org/entity/Q1415903
Οἀγεςέε	Odyssée	1.0	lestragdiesdeso00tourgoog_0132	work.primlit	http://www.wikidata.org/entity/Q35160
OEd. ΚΒ.	OEd. R.	0.25	lestragdiesdeso00tourgoog_0132	work.primlit	http://www.wikidata.org/entity/Q148643
Tencer	Teucer	0.16666666666666666	lestragdiesdeso00tourgoog_0133	pers.myth	http://www.wikidata.org/entity/Q878184
TIdem	Idem	0.2	lestragdiesdeso00tourgoog_0133	pers.author	http://www.wikidata.org/entity/Q129772
Thneyd.	Thucyd.	0.2857142857142857	lestragdiesdeso00tourgoog_0133	pers.author	http://www.wikidata.org/entity/Q41683
Matthix	Matthiae	0.25	lestragdiesdeso00tourgoog_0133	pers.author	http://www.wikidata.org/entity/Q1303669
Ηϊπιέτίυ5	Himérius	1.0	lestragdiesdeso00tourgoog_0134	pers.author	http://www.wikidata.org/entity/Q1406282
ldoche	Bothe	0.5	lestragdiesdeso00tourgoog_0136	pers.editor	http://www.wikidata.org/entity/Q19197317
Guéêpes	Guêpes	0.14285714285714285	lestragdiesdeso00tourgoog_0136	work.primlit	http://www.wikidata.org/entity/Q1217552
Agarnemnon	Agamemnon	0.2	lestragdiesdeso00tourgoog_0137	work.primlit	http://www.wikidata.org/entity/Q3320792
QEdipe Roi	Oedipe Roi	0.2	lestragdiesdeso00tourgoog_0137	work.primlit	http://www.wikidata.org/entity/Q148643
Ménélus	Ménélas	0.14285714285714285	lestragdiesdeso00tourgoog_0137	pers.myth	http://www.wikidata.org/entity/Q171839
Antigune	Antigone	0.125	lestragdiesdeso00tourgoog_0137	work.primlit	http://www.wikidata.org/entity/Q241077
Phænic.	Phoenic.	0.25	lestragdiesdeso00tourgoog_0138	work.primlit	http://www.wikidata.org/entity/Q1233660
Thévcrite	Théocrite	0.1111111111111111	lestragdiesdeso00tourgoog_0138	pers.author	http://www.wikidata.org/entity/Q219484
Él,	El.	0.6666666666666666	lestragdiesdeso00tourgoog_0139	work.primlit	http://www.wikidata.org/entity/Q540161
Ῥτερπιεηὶ 869	Fragment 869	0.6923076923076923	lestragdiesdeso00tourgoog_0139	work.fragm	
Eume- πἰάεε	Eumenides	0.5555555555555556	lestragdiesdeso00tourgoog_0139	work.primlit	http://www.wikidata.org/entity/Q1233164
Ὠϊπάοτί	Dindorf	1.0	lestragdiesdeso00tourgoog_0139	pers.editor	http://www.wikidata.org/entity/Q67533
Wander	Wunder	0.16666666666666666	lestragdiesdeso00tourgoog_0140	pers.editor	http://www.wikidata.org/entity/Q15438962
Ἡοπιὲτε	Homère	1.0	lestragdiesdeso00tourgoog_0142	pers.author	http://www.wikidata.org/entity/Q6691
Α͵αχ	Ajax	1.0	lestragdiesdeso00tourgoog_0142	pers.myth	http://www.wikidata.org/entity/Q172725
Π|αάε	Iliade	1.0	lestragdiesdeso00tourgoog_0142	work.primlit	http://www.wikidata.org/entity/Q8275
Panatk.	Panath.	0.14285714285714285	lestragdiesdeso00tourgoog_0142	work.primlit	http://www.wikidata.org/entity/Q87746403
Libenias	Libanius	0.25	lestragdiesdeso00tourgoog_0143	pers.author	http://www.wikidata.org/entity/Q263892
Pbilon	Philon	0.16666666666666666	lestragdiesdeso00tourgoog_0143	pers.author	http://www.wikidata.org/entity/Q103041587
Lobeek	Lobeck	0.16666666666666666	lestragdiesdeso00tourgoog_0143	pers.editor	http://www.wikidata.org/entity/Q84734
Ἑατίρίάε	Euripide	1.0	lestragdiesdeso00tourgoog_0143	pers.author	http://www.wikidata.org/entity/Q48305
Ῥλέπιοίασπποι	Phéniciennes	1.0	lestragdiesdeso00tourgoog_0143	work.primlit	http://www.wikidata.org/entity/Q1233660
ΤΙογόηναι	Troyennes	1.0	lestragdiesdeso00tourgoog_0143	work.primlit	http://www.wikidata.org/entity/Q1216943
1 εεΚ	Lobeck	1.0	lestragdiesdeso00tourgoog_0144	pers.editor	http://www.wikidata.org/entity/Q84734
OEd, Col,	OEd. Col.	0.2222222222222222	lestragdiesdeso00tourgoog_0144	work.primlit	http://www.wikidata.org/entity/Q294001
“4ἽἼπ|.	Ant.	0.8571428571428571	lestragdiesdeso00tourgoog_0144	work.primlit	http://www.wikidata.org/entity/Q241077
Ale.	Alc.	0.25	lestragdiesdeso00tourgoog_0145	work.primlit	http://www.wikidata.org/entity/Q1246408
Agamemuon	Agamemnon	0.1111111111111111	lestragdiesdeso00tourgoog_0145	pers.myth	http://www.wikidata.org/entity/Q128176
ΕἾ.	Él.	0.6666666666666666	lestragdiesdeso00tourgoog_0145	work.primlit	http://www.wikidata.org/entity/Q733444
Οξαάϊΐρ. « Col.	OEdip. Col.	0.6	lestragdiesdeso00tourgoog_0145	work.primlit	http://www.wikidata.org/entity/Q294001
Hermana	Hermann	0.14285714285714285	lestragdiesdeso00tourgoog_0145	pers.author	http://www.wikidata.org/entity/Q77616
QEdipe Roi	Oedipe Roi	0.2	lestragdiesdeso00tourgoog_0146	work.primlit	http://www.wikidata.org/entity/Q148643
Trackiniennes	Trachiniennes	0.07692307692307693	lestragdiesdeso00tourgoog_0146	work.primlit	http://www.wikidata.org/entity/Q945342
Cresplionte	Chresphonte	0.2727272727272727	lestragdiesdeso00tourgoog_0147	pers.myth	http://www.wikidata.org/entity/Q1788026
Οξά. Μοὶ	OEd. Roi	0.75	lestragdiesdeso00tourgoog_0147	work.primlit	http://www.wikidata.org/entity/Q148643
Phil,	Phil.	0.2	lestragdiesdeso00tourgoog_0147	work.primlit	http://www.wikidata.org/entity/Q1415903
Trach,	Trach.	0.16666666666666666	lestragdiesdeso00tourgoog_0147	work.primlit	http://www.wikidata.org/entity/Q945342
Εἰϊεπάι	Ellendt	1.0	lestragdiesdeso00tourgoog_0147	pers.editor	http://www.wikidata.org/entity/Q18411800
Δίοοι.	Elect.	0.8333333333333334	lestragdiesdeso00tourgoog_0148	work.primlit	http://www.wikidata.org/entity/Q733444
Wander	Wunder	0.16666666666666666	lestragdiesdeso00tourgoog_0148	pers.author	http://www.wikidata.org/entity/Q15438962
Sehnei · dewin	Schneidewin	0.2857142857142857	lestragdiesdeso00tourgoog_0149	pers.author	http://www.wikidata.org/entity/Q70043
Henri Estienue	Henri Estienne	0.07142857142857142	lestragdiesdeso00tourgoog_0149	pers.author	http://www.wikidata.org/entity/Q664748
Εἰ.	El.	0.6666666666666666	lestragdiesdeso00tourgoog_0150	work.primlit	http://www.wikidata.org/entity/Q733444
Ῥλέϊοοιδίε	Philoctète	1.0	lestragdiesdeso00tourgoog_0150	work.primlit	http://www.wikidata.org/entity/Q1415903
Aristiqe	Aristide	0.125	lestragdiesdeso00tourgoog_0151	pers.author	http://www.wikidata.org/entity/Q354431
Wander	Wunder	0.16666666666666666	lestragdiesdeso00tourgoog_0152	pers.author	http://www.wikidata.org/entity/Q15438962
À gamemnon	Agamemnon	0.2	lestragdiesdeso00tourgoog_0152	pers.myth	http://www.wikidata.org/entity/Q128176
Botbe	Bothe	0.2	lestragdiesdeso00tourgoog_0152	pers.editor	
En- ripide	Euripide	0.125	lestragdiesdeso00tourgoog_0153	pers.author	http://www.wikidata.org/entity/Q48305
Lettres à Articus	Lettres à Atticus	0.058823529411764705	lestragdiesdeso00tourgoog_0153	work.primlit	http://www.wikidata.org/entity/Q3237044
Τηαολὲ- niegnoc	Trachiniennes	0.6923076923076923	lestragdiesdeso00tourgoog_0154	work.primlit	http://www.wikidata.org/entity/Q945342
vers δ7	vers 57	0.14285714285714285	lestragdiesdeso00tourgoog_0154	secondary-meta	
Ælect.	Elect.	0.16666666666666666	lestragdiesdeso00tourgoog_0154	work.primlit	http://www.wikidata.org/entity/Q733444
1.8 πιέπιο	Le même	0.9	lestragdiesdeso00tourgoog_0155	pers.author	http://www.wikidata.org/entity/Q18411800
Agamem- πον	Agamemnon	0.3333333333333333	lestragdiesdeso00tourgoog_0155	work.primlit	http://www.wikidata.org/entity/Q3320792
Schueidewin	Schneidewin	0.09090909090909091	lestragdiesdeso00tourgoog_0156	pers.editor	http://www.wikidata.org/entity/Q70043
